name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1964 Austrian Grand Prix 🇦🇹,2:06:18.23,7,105,Ferrari 🇮🇹,1964-08-23T00:00:00.000Z,Zeltweg,Lorenzo Bandini 🇮🇹,1964
1970 Austrian Grand Prix 🇦🇹,1:42:17.3,9,60,Ferrari 🇮🇹,1970-08-16T00:00:00.000Z,A1-Ring,Jacky Ickx 🇧🇪,1970
1971 Austrian Grand Prix 🇦🇹,1:30:23.91,8,54,BRM 🇬🇧,1971-08-15T00:00:00.000Z,A1-Ring,Jo Siffert 🇨🇭,1971
1972 Austrian Grand Prix 🇦🇹,1:29:16.660,9,54,Team Lotus 🇬🇧,1972-08-13T00:00:00.000Z,A1-Ring,Emerson Fittipaldi 🇧🇷,1972
1973 Austrian Grand Prix 🇦🇹,1:28:48.78,12,54,Team Lotus 🇬🇧,1973-08-19T00:00:00.000Z,A1-Ring,Ronnie Peterson 🇸🇪,1973
1974 Austrian Grand Prix 🇦🇹,1:28:44.72,12,54,Brabham 🇬🇧,1974-08-18T00:00:00.000Z,A1-Ring,Carlos Reutemann 🇦🇷,1974
1975 Austrian Grand Prix 🇦🇹,0:57:56.69,12,29,March 🇬🇧,1975-08-17T00:00:00.000Z,A1-Ring,Vittorio Brambilla 🇮🇹,1975
1976 Austrian Grand Prix 🇦🇹,1:30:07.86,11,54,Penske 🇺🇸,1976-08-15T00:00:00.000Z,A1-Ring,John Watson 🇬🇧,1976
1977 Austrian Grand Prix 🇦🇹,1:37:16.49,12,54,Shadow 🇬🇧,1977-08-14T00:00:00.000Z,A1-Ring,Alan Jones 🇦🇺,1977
1978 Austrian Grand Prix 🇦🇹,1:41:21.57,12,54,Team Lotus 🇬🇧,1978-08-13T00:00:00.000Z,A1-Ring,Ronnie Peterson 🇸🇪,1978
1979 Austrian Grand Prix 🇦🇹,1:27:38.01,11,54,Williams 🇬🇧,1979-08-12T00:00:00.000Z,A1-Ring,Alan Jones 🇦🇺,1979
1980 Austrian Grand Prix 🇦🇹,1:26:15.73,10,54,Renault 🇫🇷,1980-08-17T00:00:00.000Z,A1-Ring,Jean-Pierre Jabouille 🇫🇷,1980
1981 Austrian Grand Prix 🇦🇹,1:27:36.47,11,53,Ligier 🇫🇷,1981-08-16T00:00:00.000Z,A1-Ring,Jacques Laffite 🇫🇷,1981
1982 Austrian Grand Prix 🇦🇹,1:25:02.212,13,53,Team Lotus 🇬🇧,1982-08-15T00:00:00.000Z,A1-Ring,Elio de Angelis 🇮🇹,1982
1983 Austrian Grand Prix 🇦🇹,1:24:32.745,11,53,Renault 🇫🇷,1983-08-14T00:00:00.000Z,A1-Ring,Alain Prost 🇫🇷,1983
1984 Austrian Grand Prix 🇦🇹,1:21:12.851,12,51,McLaren 🇬🇧,1984-08-19T00:00:00.000Z,A1-Ring,Niki Lauda 🇦🇹,1984
1985 Austrian Grand Prix 🇦🇹,1:20:12.583,10,52,McLaren 🇬🇧,1985-08-18T00:00:00.000Z,A1-Ring,Alain Prost 🇫🇷,1985
1986 Austrian Grand Prix 🇦🇹,1:21:22.531,12,52,McLaren 🇬🇧,1986-08-17T00:00:00.000Z,A1-Ring,Alain Prost 🇫🇷,1986
1987 Austrian Grand Prix 🇦🇹,1:18:44.898,10,52,Williams 🇬🇧,1987-08-16T00:00:00.000Z,A1-Ring,Nigel Mansell 🇬🇧,1987
1997 Austrian Grand Prix 🇦🇹,1:27:35.999,14,71,Williams 🇬🇧,1997-09-21T00:00:00.000Z,A1-Ring,Jacques Villeneuve 🇨🇦,1997
1998 Austrian Grand Prix 🇦🇹,1:30:44.0,10,71,McLaren 🇬🇧,1998-07-26T00:00:00.000Z,A1-Ring,Mika Häkkinen 🇫🇮,1998
1999 Austrian Grand Prix 🇦🇹,1:28:12.438,9,71,Ferrari 🇮🇹,1999-07-25T00:00:00.000Z,A1-Ring,Eddie Irvine 🇬🇧,1999
2000 Austrian Grand Prix 🇦🇹,1:28:15.818,10,71,McLaren 🇬🇧,2000-07-16T00:00:00.000Z,A1-Ring,Mika Häkkinen 🇫🇮,2000
2001 Austrian Grand Prix 🇦🇹,1:27:45.927,6,71,McLaren 🇬🇧,2001-05-13T00:00:00.000Z,A1-Ring,David Coulthard 🇬🇧,2001
2002 Austrian Grand Prix 🇦🇹,1:33:51.562,6,71,Ferrari 🇮🇹,2002-05-12T00:00:00.000Z,A1-Ring,Michael Schumacher 🇩🇪,2002
2003 Austrian Grand Prix 🇦🇹,1:24:04.888,6,69,Ferrari 🇮🇹,2003-05-18T00:00:00.000Z,A1-Ring,Michael Schumacher 🇩🇪,2003
2014 Austrian Grand Prix 🇦🇹,1:27:54.976,8,71,Mercedes 🇩🇪,2014-06-22T00:00:00.000Z,Red Bull Ring,Nico Rosberg 🇩🇪,2014
2015 Austrian Grand Prix 🇦🇹,1:30:16.930,8,71,Mercedes 🇩🇪,2015-06-21T00:00:00.000Z,Red Bull Ring,Nico Rosberg 🇩🇪,2015
2016 Austrian Grand Prix 🇦🇹,1:27:38.107,9,71,Mercedes 🇩🇪,2016-07-03T00:00:00.000Z,Red Bull Ring,Lewis Hamilton 🇬🇧,2016
2017 Austrian Grand Prix 🇦🇹,,9,,,2017-07-09T00:00:00.000Z,Red Bull Ring,,2017
