surname,flag,forename,country
Berger,🇦🇹,Gerhard,Austria
Binder,🇦🇹,Hans,Austria
Ertl,🇦🇹,Harald,Austria
Friesacher,🇦🇹,Patrick,Austria
Gartner,🇦🇹,Jo,Austria
Klien,🇦🇹,Christian,Austria
Koinigg,🇦🇹,Helmuth,Austria
Lauda,🇦🇹,Niki,Austria
Marko,🇦🇹,Helmut,Austria
Quester,🇦🇹,Dieter,Austria
Ratzenberger,🇦🇹,Roland,Austria
Rindt,🇦🇹,Jochen,Austria
Stuppacher,🇦🇹,Otto,Austria
Wendlinger,🇦🇹,Karl,Austria
Wurz,🇦🇹,Alexander,Austria
