most_wins_driver,name,location,races,wins,country
,Port Imperial Street Circuit,New Jersey,0,,USA
Alain Prost 🇫🇷,A1-Ring,Spielburg,25,3,Austria
Alain Prost 🇫🇷,Circuit Paul Ricard,Le Castellet,14,4,France
Alain Prost 🇫🇷,Silverstone Circuit,Silverstone,51,5,UK
Alain Prost 🇫🇷,Autódromo Internacional Nelson Piquet,Rio de Janeiro,10,5,Brazil
Alain Prost 🇫🇷,Circuito de Jerez,Jerez de la Frontera,7,2,Spain
Ayrton Senna 🇧🇷,Phoenix street circuit,Phoenix,3,2,USA
Ayrton Senna 🇧🇷,Adelaide Street Circuit,Adelaide,11,2,Australia
Ayrton Senna 🇧🇷,Circuit de Monaco,Monte-Carlo,64,6,Monaco
Ayrton Senna 🇧🇷,Detroit Street Circuit,Detroit,7,3,USA
Ayrton Senna 🇧🇷,Donington Park,Castle Donington,1,1,UK
Bruce McLaren 🇳🇿,Sebring International Raceway,Florida,1,1,USA
Dan Gurney 🇺🇸,Rouen-Les-Essarts,Rouen,5,2,France
Emerson Fittipaldi 🇧🇷,Nivelles-Baulers,Brussels,2,2,Belgium
Felipe Massa 🇧🇷,Istanbul Park,Istanbul,7,3,Turkey
Fernando Alonso 🇪🇸,Bahrain International Circuit,Sakhir,13,3,Bahrain
Fernando Alonso 🇪🇸,Fuji Speedway,Oyama,4,1,Japan
Jack Brabham 🇦🇺,Le Mans,Le Mans,1,1,France
Jack Brabham 🇦🇺,Circuito da Boavista,Oporto,2,1,Portugal
Jackie Stewart 🇬🇧,Mosport International Raceway,Ontario,8,2,Canada
Jackie Stewart 🇬🇧,Charade Circuit,Clermont-Ferrand,4,2,France
Jackie Stewart 🇬🇧,Montjuïc,Barcelona,4,2,Spain
Jacky Ickx 🇧🇪,Circuit Mont-Tremblant,Quebec,2,1,Canada
Jim Clark 🇬🇧,Prince George Circuit,Eastern Cape Province,3,2,South Africa
Jim Clark 🇬🇧,Circuit Park Zandvoort,Zandvoort,30,4,Netherlands
Jim Clark 🇬🇧,Watkins Glen,New York State,20,3,USA
John Watson 🇬🇧,Long Beach,California,8,1,USA
Juan Fangio 🇦🇷,Circuit Bremgarten,Bern,5,2,Switzerland
Juan Fangio 🇦🇷,Reims-Gueux,Reims,11,3,France
Juan Fangio 🇦🇷,Autódromo Juan y Oscar Gálvez,Buenos Aires,20,4,Argentina
Keke Rosberg 🇫🇮,Fair Park,Dallas,1,1,USA
Lewis Hamilton 🇬🇧,Hungaroring,Budapest,32,5,Hungary
Lewis Hamilton 🇬🇧,Shanghai International Circuit,Shanghai,14,5,China
Lewis Hamilton 🇬🇧,Circuit of the Americas,Austin,6,4,USA
Lewis Hamilton 🇬🇧,Sochi Autodrom,Sochi,4,2,Russia
Lorenzo Bandini 🇮🇹,Zeltweg,Styria,1,1,Austria
