name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1950 Belgian Grand Prix 🇧🇪,5,3,35,Alfa Romeo 🇮🇹,1950-06-18,2,+14.0,1950,Juan Fangio 🇦🇷
1950 British Grand Prix 🇬🇧,1,2,70,Alfa Romeo 🇮🇹,1950-05-13,2,+2.6,1950,Nino Farina 🇮🇹
1950 French Grand Prix 🇫🇷,6,3,64,Alfa Romeo 🇮🇹,1950-07-02,2,+25.7,1950,Juan Fangio 🇦🇷
1950 Italian Grand Prix 🇮🇹,7,5,80,Alfa Romeo 🇮🇹,1950-09-03,3,+1:35.6,1950,Nino Farina 🇮🇹
1950 Monaco Grand Prix 🇲🇨,2,5,0,Alfa Romeo 🇮🇹,1950-05-21,R,,1950,Juan Fangio 🇦🇷
1950 Swiss Grand Prix 🇨🇭,4,3,42,Alfa Romeo 🇮🇹,1950-06-04,2,+0.4,1950,Nino Farina 🇮🇹
1951 French Grand Prix 🇫🇷,4,7,77,Alfa Romeo 🇮🇹,1951-07-01,1,3:22:11.0,1951,Juan Fangio 🇦🇷
1951 French Grand Prix 🇫🇷,4,1,55,Alfa Romeo 🇮🇹,1951-07-01,11,,1951,Juan Fangio 🇦🇷
