raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
198301,Brazilian Grand Prix,1,br,1983,1983-03-13T00:00:00.000Z,jacarepagua,,🇧🇷,Brazil
198302,United States Grand Prix West,2,us,1983,1983-03-27T00:00:00.000Z,long_beach,,🇺🇸,USA
198303,French Grand Prix,3,fr,1983,1983-04-17T00:00:00.000Z,ricard,,🇫🇷,France
198304,San Marino Grand Prix,4,it,1983,1983-05-01T00:00:00.000Z,imola,,🇮🇹,Italy
198305,Monaco Grand Prix,5,mc,1983,1983-05-15T00:00:00.000Z,monaco,,🇲🇨,Monaco
198306,Belgian Grand Prix,6,be,1983,1983-05-22T00:00:00.000Z,spa,,🇧🇪,Belgium
198307,Detroit Grand Prix,7,us,1983,1983-06-05T00:00:00.000Z,detroit,,🇺🇸,USA
198308,Canadian Grand Prix,8,ca,1983,1983-06-12T00:00:00.000Z,villeneuve,,🇨🇦,Canada
198309,British Grand Prix,9,gb,1983,1983-07-16T00:00:00.000Z,silverstone,,🇬🇧,UK
198310,German Grand Prix,10,de,1983,1983-08-07T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
198311,Austrian Grand Prix,11,at,1983,1983-08-14T00:00:00.000Z,osterreichring,,🇦🇹,Austria
198312,Dutch Grand Prix,12,nl,1983,1983-08-28T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
198313,Italian Grand Prix,13,it,1983,1983-09-11T00:00:00.000Z,monza,,🇮🇹,Italy
198314,European Grand Prix,14,gb,1983,1983-09-25T00:00:00.000Z,brands_hatch,,🇬🇧,UK
198315,South African Grand Prix,15,za,1983,1983-10-15T00:00:00.000Z,kyalami,,🇿🇦,South Africa
