raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
199001,United States Grand Prix,1,us,1990,1990-03-11T00:00:00.000Z,phoenix,,🇺🇸,USA
199002,Brazilian Grand Prix,2,br,1990,1990-03-25T00:00:00.000Z,interlagos,,🇧🇷,Brazil
199003,San Marino Grand Prix,3,it,1990,1990-05-13T00:00:00.000Z,imola,,🇮🇹,Italy
199004,Monaco Grand Prix,4,mc,1990,1990-05-27T00:00:00.000Z,monaco,,🇲🇨,Monaco
199005,Canadian Grand Prix,5,ca,1990,1990-06-10T00:00:00.000Z,villeneuve,,🇨🇦,Canada
199006,Mexican Grand Prix,6,mx,1990,1990-06-24T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
199007,French Grand Prix,7,fr,1990,1990-07-08T00:00:00.000Z,ricard,,🇫🇷,France
199008,British Grand Prix,8,gb,1990,1990-07-15T00:00:00.000Z,silverstone,,🇬🇧,UK
199009,German Grand Prix,9,de,1990,1990-07-29T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
199010,Hungarian Grand Prix,10,hu,1990,1990-08-12T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
199011,Belgian Grand Prix,11,be,1990,1990-08-26T00:00:00.000Z,spa,,🇧🇪,Belgium
199012,Italian Grand Prix,12,it,1990,1990-09-09T00:00:00.000Z,monza,,🇮🇹,Italy
199013,Portuguese Grand Prix,13,pt,1990,1990-09-23T00:00:00.000Z,estoril,,🇵🇹,Portugal
199014,Spanish Grand Prix,14,es,1990,1990-09-30T00:00:00.000Z,jerez,,🇪🇸,Spain
199015,Japanese Grand Prix,15,jp,1990,1990-10-21T00:00:00.000Z,suzuka,,🇯🇵,Japan
199016,Australian Grand Prix,16,au,1990,1990-11-04T00:00:00.000Z,adelaide,,🇦🇺,Australia
