position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,alguersuari,0.0,17,ae,24,0.0,FC181D,2039C3,Jaime Alguersuari 🇪🇸,🇦🇪,UAE
,hamilton,0.0,17,ae,5,49.0,0D1D20,FCA13B,Lewis Hamilton 🇬🇧,🇦🇪,UAE
,alonso,0.0,16,br,9,26.0,424B52,FDE139,Fernando Alonso 🇪🇸,🇧🇷,Brazil
,trulli,0.0,16,br,8,30.5,444444,D70028,Jarno Trulli 🇮🇹,🇧🇷,Brazil
,sutil,0.0,16,br,16,5.0,C81625,F6AFC1,Adrian Sutil 🇩🇪,🇧🇷,Brazil
,heidfeld,0.0,16,br,14,15.0,444444,20359D,Nick Heidfeld 🇩🇪,🇧🇷,Brazil
,rosberg,0.0,16,br,7,34.5,082957,EAE4ED,Nico Rosberg 🇩🇪,🇧🇷,Brazil
,nakajima,0.0,16,br,19,0.0,082957,EAE4ED,Kazuki Nakajima 🇯🇵,🇧🇷,Brazil
,glock,0.0,15,jp,10,24.0,444444,D70028,Timo Glock 🇩🇪,🇯🇵,Japan
,buemi,0.0,15,jp,17,3.0,FC181D,2039C3,Sébastien Buemi 🇨🇭,🇯🇵,Japan
,alguersuari,0.0,15,jp,24,0.0,FC181D,2039C3,Jaime Alguersuari 🇪🇸,🇯🇵,Japan
,grosjean,0.0,14,sg,23,0.0,424B52,FDE139,Romain Grosjean 🇫🇷,🇸🇬,Singapore
,heidfeld,0.0,14,sg,13,12.0,444444,20359D,Nick Heidfeld 🇩🇪,🇸🇬,Singapore
,sutil,0.0,14,sg,16,5.0,C81625,F6AFC1,Adrian Sutil 🇩🇪,🇸🇬,Singapore
,webber,0.0,14,sg,4,51.5,FDCC2F,121D32,Mark Webber 🇦🇺,🇸🇬,Singapore
,alguersuari,0.0,14,sg,24,0.0,FC181D,2039C3,Jaime Alguersuari 🇪🇸,🇸🇬,Singapore
,webber,0.0,13,it,4,51.5,FDCC2F,121D32,Mark Webber 🇦🇺,🇮🇹,Italy
,kubica,0.0,13,it,15,8.0,444444,20359D,Robert Kubica 🇵🇱,🇮🇹,Italy
,alguersuari,0.0,13,it,23,0.0,FC181D,2039C3,Jaime Alguersuari 🇪🇸,🇮🇹,Italy
,liuzzi,0.0,13,it,24,0.0,C81625,F6AFC1,Vitantonio Liuzzi 🇮🇹,🇮🇹,Italy
,alguersuari,0.0,12,be,22,0.0,FC181D,2039C3,Jaime Alguersuari 🇪🇸,🇧🇪,Belgium
,hamilton,0.0,12,be,7,27.0,0D1D20,FCA13B,Lewis Hamilton 🇬🇧,🇧🇪,Belgium
,grosjean,0.0,12,be,23,0.0,424B52,FDE139,Romain Grosjean 🇫🇷,🇧🇪,Belgium
,button,0.0,12,be,1,72.0,444444,E2F833,Jenson Button 🇬🇧,🇧🇪,Belgium
,trulli,0.0,12,be,8,22.5,444444,D70028,Jarno Trulli 🇮🇹,🇧🇪,Belgium
,alonso,0.0,12,be,12,16.0,424B52,FDE139,Fernando Alonso 🇪🇸,🇧🇪,Belgium
,vettel,0.0,11,es,4,47.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇪🇸,Spain
,buemi,0.0,11,es,15,3.0,FC181D,2039C3,Sébastien Buemi 🇨🇭,🇪🇸,Spain
,massa,0.0,10,hu,7,22.0,16191A,EB212E,Felipe Massa 🇧🇷,🇭🇺,Hungary
,sutil,0.0,10,hu,19,0.0,C81625,F6AFC1,Adrian Sutil 🇩🇪,🇭🇺,Hungary
,alonso,0.0,10,hu,11,13.0,424B52,FDE139,Fernando Alonso 🇪🇸,🇭🇺,Hungary
,vettel,0.0,10,hu,3,47.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇭🇺,Hungary
,kubica,0.0,2,my,19,0.0,444444,20359D,Robert Kubica 🇵🇱,🇲🇾,Malaysia
,kovalainen,0.0,2,my,20,0.0,0D1D20,FCA13B,Heikki Kovalainen 🇫🇮,🇲🇾,Malaysia
,bourdais,0.0,9,de,16,2.0,FC181D,2039C3,Sébastien Bourdais 🇫🇷,🇩🇪,Germany
,raikkonen,0.0,9,de,10,10.0,16191A,EB212E,Kimi Räikkönen 🇫🇮,🇩🇪,Germany
,kovalainen,0.0,8,gb,13,4.0,0D1D20,FCA13B,Heikki Kovalainen 🇫🇮,🇬🇧,UK
,bourdais,0.0,8,gb,16,2.0,FC181D,2039C3,Sébastien Bourdais 🇫🇷,🇬🇧,UK
,fisichella,0.0,7,tr,17,0.0,C81625,F6AFC1,Giancarlo Fisichella 🇮🇹,🇹🇷,Turkey
,barrichello,0.0,7,tr,2,35.0,444444,E2F833,Rubens Barrichello 🇧🇷,🇹🇷,Turkey
,buemi,0.0,6,mc,14,3.0,FC181D,2039C3,Sébastien Buemi 🇨🇭,🇲🇨,Monaco
,piquet_jr,0.0,6,mc,18,0.0,424B52,FDE139,Nelson Piquet Jr. 🇧🇷,🇲🇨,Monaco
,vettel,0.0,6,mc,3,23.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇲🇨,Monaco
,kubica,0.0,6,mc,19,0.0,444444,20359D,Robert Kubica 🇵🇱,🇲🇨,Monaco
,kovalainen,0.0,6,mc,13,4.0,0D1D20,FCA13B,Heikki Kovalainen 🇫🇮,🇲🇨,Monaco
,sutil,0.0,5,es,16,0.0,C81625,F6AFC1,Adrian Sutil 🇩🇪,🇪🇸,Spain
,bourdais,0.0,5,es,15,1.0,FC181D,2039C3,Sébastien Bourdais 🇫🇷,🇪🇸,Spain
,buemi,0.0,5,es,14,3.0,FC181D,2039C3,Sébastien Buemi 🇨🇭,🇪🇸,Spain
,trulli,0.0,5,es,5,14.5,444444,D70028,Jarno Trulli 🇮🇹,🇪🇸,Spain
,kovalainen,0.0,5,es,11,4.0,0D1D20,FCA13B,Heikki Kovalainen 🇫🇮,🇪🇸,Spain
,raikkonen,0.0,5,es,13,3.0,16191A,EB212E,Kimi Räikkönen 🇫🇮,🇪🇸,Spain
,nakajima,0.0,3,cn,18,0.0,082957,EAE4ED,Kazuki Nakajima 🇯🇵,🇨🇳,China
,massa,0.0,3,cn,15,0.0,16191A,EB212E,Felipe Massa 🇧🇷,🇨🇳,China
,trulli,0.0,3,cn,6,8.5,444444,D70028,Jarno Trulli 🇮🇹,🇨🇳,China
,nakajima,0.0,4,bh,19,0.0,082957,EAE4ED,Kazuki Nakajima 🇯🇵,🇧🇭,Bahrain
,buemi,0.0,14,sg,17,3.0,FC181D,2039C3,Sébastien Buemi 🇨🇭,🇸🇬,Singapore
1,barrichello,10.0,11,es,2,54.0,444444,E2F833,Rubens Barrichello 🇧🇷,🇪🇸,Spain
1,vettel,10.0,8,gb,3,39.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇬🇧,UK
1,webber,10.0,9,de,3,45.5,FDCC2F,121D32,Mark Webber 🇦🇺,🇩🇪,Germany
1,button,10.0,7,tr,1,61.0,444444,E2F833,Jenson Button 🇬🇧,🇹🇷,Turkey
1,vettel,10.0,17,ae,2,84.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇦🇪,UAE
1,button,10.0,1,au,1,10.0,444444,E2F833,Jenson Button 🇬🇧,🇦🇺,Australia
1,vettel,10.0,3,cn,3,10.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇨🇳,China
1,hamilton,10.0,10,hu,8,19.0,0D1D20,FCA13B,Lewis Hamilton 🇬🇧,🇭🇺,Hungary
1,raikkonen,10.0,12,be,5,34.0,16191A,EB212E,Kimi Räikkönen 🇫🇮,🇧🇪,Belgium
1,button,10.0,6,mc,1,51.0,444444,E2F833,Jenson Button 🇬🇧,🇲🇨,Monaco
1,barrichello,10.0,13,it,2,66.0,444444,E2F833,Rubens Barrichello 🇧🇷,🇮🇹,Italy
1,webber,10.0,16,br,4,61.5,FDCC2F,121D32,Mark Webber 🇦🇺,🇧🇷,Brazil
1,hamilton,10.0,14,sg,6,37.0,0D1D20,FCA13B,Lewis Hamilton 🇬🇧,🇸🇬,Singapore
1,button,5.0,2,my,1,15.0,444444,E2F833,Jenson Button 🇬🇧,🇲🇾,Malaysia
1,button,10.0,5,es,1,41.0,444444,E2F833,Jenson Button 🇬🇧,🇪🇸,Spain
1,button,10.0,4,bh,1,31.0,444444,E2F833,Jenson Button 🇬🇧,🇧🇭,Bahrain
1,vettel,10.0,15,jp,3,69.0,FDCC2F,121D32,Sebastian Vettel 🇩🇪,🇯🇵,Japan
10,alonso,0.0,15,jp,9,26.0,424B52,FDE139,Fernando Alonso 🇪🇸,🇯🇵,Japan
