raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
197801,Argentine Grand Prix,1,ar,1978,1978-01-15T00:00:00.000Z,galvez,,🇦🇷,Argentina
197802,Brazilian Grand Prix,2,br,1978,1978-01-29T00:00:00.000Z,jacarepagua,,🇧🇷,Brazil
197803,South African Grand Prix,3,za,1978,1978-03-04T00:00:00.000Z,kyalami,,🇿🇦,South Africa
197804,United States Grand Prix West,4,us,1978,1978-04-02T00:00:00.000Z,long_beach,,🇺🇸,USA
197805,Monaco Grand Prix,5,mc,1978,1978-05-07T00:00:00.000Z,monaco,,🇲🇨,Monaco
197806,Belgian Grand Prix,6,be,1978,1978-05-21T00:00:00.000Z,zolder,,🇧🇪,Belgium
197807,Spanish Grand Prix,7,es,1978,1978-06-04T00:00:00.000Z,jarama,,🇪🇸,Spain
197808,Swedish Grand Prix,8,se,1978,1978-06-17T00:00:00.000Z,anderstorp,,🇸🇪,Sweden
197809,French Grand Prix,9,fr,1978,1978-07-02T00:00:00.000Z,ricard,,🇫🇷,France
197810,British Grand Prix,10,gb,1978,1978-07-16T00:00:00.000Z,brands_hatch,,🇬🇧,UK
197811,German Grand Prix,11,de,1978,1978-07-30T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
197812,Austrian Grand Prix,12,at,1978,1978-08-13T00:00:00.000Z,osterreichring,,🇦🇹,Austria
197813,Dutch Grand Prix,13,nl,1978,1978-08-27T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
197814,Italian Grand Prix,14,it,1978,1978-09-10T00:00:00.000Z,monza,,🇮🇹,Italy
197815,United States Grand Prix,15,us,1978,1978-10-01T00:00:00.000Z,watkins_glen,,🇺🇸,USA
197816,Canadian Grand Prix,16,ca,1978,1978-10-08T00:00:00.000Z,villeneuve,,🇨🇦,Canada
