name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1968 Canadian Grand Prix 🇨🇦,2:27:11.2,10,90,McLaren-Ford 🇬🇧,1968-09-22,Denny Hulme 🇳🇿,1968
1970 Canadian Grand Prix 🇨🇦,1:21:18.4,11,90,Ferrari 🇮🇹,1970-09-20,Jacky Ickx 🇧🇪,1970
