name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1982 Detroit Grand Prix 🇺🇸,1:58:41.043,7,62,McLaren 🇬🇧,1982-06-06T00:00:00.000Z,John Watson 🇬🇧,1982
1983 Detroit Grand Prix 🇺🇸,1:50:53.669,7,60,Tyrrell 🇬🇧,1983-06-05T00:00:00.000Z,Michele Alboreto 🇮🇹,1983
1984 Detroit Grand Prix 🇺🇸,1:55:41.842,8,63,Brabham 🇬🇧,1984-06-24T00:00:00.000Z,Nelson Piquet 🇧🇷,1984
1985 Detroit Grand Prix 🇺🇸,1:55:39.851,6,63,Williams 🇬🇧,1985-06-23T00:00:00.000Z,Keke Rosberg 🇫🇮,1985
1986 Detroit Grand Prix 🇺🇸,1:51:12.847,7,63,Team Lotus 🇬🇧,1986-06-22T00:00:00.000Z,Ayrton Senna 🇧🇷,1986
1987 Detroit Grand Prix 🇺🇸,1:50:16.358,5,63,Team Lotus 🇬🇧,1987-06-21T00:00:00.000Z,Ayrton Senna 🇧🇷,1987
1988 Detroit Grand Prix 🇺🇸,1:54:56.035,6,63,McLaren 🇬🇧,1988-06-19T00:00:00.000Z,Ayrton Senna 🇧🇷,1988
