name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1976 Japanese Grand Prix 🇯🇵,1:43:58.86,16,73,Team Lotus 🇬🇧,1976-10-24T00:00:00.000Z,Fuji Speedway,Mario Andretti 🇺🇸,1976
1977 Japanese Grand Prix 🇯🇵,1:31:51.68,17,73,McLaren 🇬🇧,1977-10-23T00:00:00.000Z,Fuji Speedway,James Hunt 🇬🇧,1977
1987 Japanese Grand Prix 🇯🇵,1:32:58.072,15,51,Ferrari 🇮🇹,1987-11-01T00:00:00.000Z,Suzuka Circuit,Gerhard Berger 🇦🇹,1987
1988 Japanese Grand Prix 🇯🇵,1:33:26.173,15,51,McLaren 🇬🇧,1988-10-30T00:00:00.000Z,Suzuka Circuit,Ayrton Senna 🇧🇷,1988
1989 Japanese Grand Prix 🇯🇵,1:35:06.277,15,53,Benetton 🇮🇹,1989-10-22T00:00:00.000Z,Suzuka Circuit,Alessandro Nannini 🇮🇹,1989
1990 Japanese Grand Prix 🇯🇵,1:34:36.824,15,53,Benetton 🇮🇹,1990-10-21T00:00:00.000Z,Suzuka Circuit,Nelson Piquet 🇧🇷,1990
1991 Japanese Grand Prix 🇯🇵,1:32:10.695,15,53,McLaren 🇬🇧,1991-10-20T00:00:00.000Z,Suzuka Circuit,Gerhard Berger 🇦🇹,1991
1992 Japanese Grand Prix 🇯🇵,1:33:09.533,15,53,Williams 🇬🇧,1992-10-25T00:00:00.000Z,Suzuka Circuit,Riccardo Patrese 🇮🇹,1992
1993 Japanese Grand Prix 🇯🇵,1:40:27.912,15,53,McLaren 🇬🇧,1993-10-24T00:00:00.000Z,Suzuka Circuit,Ayrton Senna 🇧🇷,1993
1994 Japanese Grand Prix 🇯🇵,1:55:53.532,15,50,Williams 🇬🇧,1994-11-06T00:00:00.000Z,Suzuka Circuit,Damon Hill 🇬🇧,1994
1994 Pacific Grand Prix 🇯🇵,1:46:01.693,2,83,Benetton 🇮🇹,1994-04-17T00:00:00.000Z,Okayama International Circuit,Michael Schumacher 🇩🇪,1994
