raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
198401,Brazilian Grand Prix,1,br,1984,1984-03-25T00:00:00.000Z,jacarepagua,,🇧🇷,Brazil
198402,South African Grand Prix,2,za,1984,1984-04-07T00:00:00.000Z,kyalami,,🇿🇦,South Africa
198403,Belgian Grand Prix,3,be,1984,1984-04-29T00:00:00.000Z,zolder,,🇧🇪,Belgium
198404,San Marino Grand Prix,4,it,1984,1984-05-06T00:00:00.000Z,imola,,🇮🇹,Italy
198405,French Grand Prix,5,fr,1984,1984-05-20T00:00:00.000Z,dijon,,🇫🇷,France
198406,Monaco Grand Prix,6,mc,1984,1984-06-03T00:00:00.000Z,monaco,,🇲🇨,Monaco
198407,Canadian Grand Prix,7,ca,1984,1984-06-17T00:00:00.000Z,villeneuve,,🇨🇦,Canada
198408,Detroit Grand Prix,8,us,1984,1984-06-24T00:00:00.000Z,detroit,,🇺🇸,USA
198409,Dallas Grand Prix,9,us,1984,1984-07-08T00:00:00.000Z,dallas,,🇺🇸,USA
198410,British Grand Prix,10,gb,1984,1984-07-22T00:00:00.000Z,brands_hatch,,🇬🇧,UK
198411,German Grand Prix,11,de,1984,1984-08-05T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
198412,Austrian Grand Prix,12,at,1984,1984-08-19T00:00:00.000Z,osterreichring,,🇦🇹,Austria
198413,Dutch Grand Prix,13,nl,1984,1984-08-26T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
198414,Italian Grand Prix,14,it,1984,1984-09-09T00:00:00.000Z,monza,,🇮🇹,Italy
198415,European Grand Prix,15,de,1984,1984-10-07T00:00:00.000Z,nurburgring,,🇩🇪,Germany
198416,Portuguese Grand Prix,16,pt,1984,1984-10-21T00:00:00.000Z,estoril,,🇵🇹,Portugal
