raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
199401,Brazilian Grand Prix,1,br,1994,1994-03-27T00:00:00.000Z,interlagos,,🇧🇷,Brazil
199402,Pacific Grand Prix,2,jp,1994,1994-04-17T00:00:00.000Z,okayama,,🇯🇵,Japan
199403,San Marino Grand Prix,3,it,1994,1994-05-01T00:00:00.000Z,imola,,🇮🇹,Italy
199404,Monaco Grand Prix,4,mc,1994,1994-05-15T00:00:00.000Z,monaco,,🇲🇨,Monaco
199405,Spanish Grand Prix,5,es,1994,1994-05-29T00:00:00.000Z,catalunya,,🇪🇸,Spain
199406,Canadian Grand Prix,6,ca,1994,1994-06-12T00:00:00.000Z,villeneuve,,🇨🇦,Canada
199407,French Grand Prix,7,fr,1994,1994-07-03T00:00:00.000Z,magny_cours,,🇫🇷,France
199408,British Grand Prix,8,gb,1994,1994-07-10T00:00:00.000Z,silverstone,,🇬🇧,UK
199409,German Grand Prix,9,de,1994,1994-07-31T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
199410,Hungarian Grand Prix,10,hu,1994,1994-08-14T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
199411,Belgian Grand Prix,11,be,1994,1994-08-28T00:00:00.000Z,spa,,🇧🇪,Belgium
199412,Italian Grand Prix,12,it,1994,1994-09-11T00:00:00.000Z,monza,,🇮🇹,Italy
199413,Portuguese Grand Prix,13,pt,1994,1994-09-25T00:00:00.000Z,estoril,,🇵🇹,Portugal
199414,European Grand Prix,14,es,1994,1994-10-16T00:00:00.000Z,jerez,,🇪🇸,Spain
199415,Japanese Grand Prix,15,jp,1994,1994-11-06T00:00:00.000Z,suzuka,,🇯🇵,Japan
199416,Australian Grand Prix,16,au,1994,1994-11-13T00:00:00.000Z,adelaide,,🇦🇺,Australia
