most_wins_driver,name,location,races,wins,country
,Port Imperial Street Circuit,New Jersey,0,,USA
Ayrton Senna 🇧🇷,Detroit Street Circuit,Detroit,7,3,USA
Ayrton Senna 🇧🇷,Phoenix street circuit,Phoenix,3,2,USA
Bruce McLaren 🇳🇿,Sebring International Raceway,Florida,1,1,USA
Jim Clark 🇬🇧,Watkins Glen,New York State,20,3,USA
John Watson 🇬🇧,Long Beach,California,8,1,USA
Keke Rosberg 🇫🇮,Fair Park,Dallas,1,1,USA
Lewis Hamilton 🇬🇧,Circuit of the Americas,Austin,6,4,USA
Michael Schumacher 🇩🇪,Indianapolis Motor Speedway,Indianapolis,19,5,USA
Michele Alboreto 🇮🇹,Las Vegas Street Circuit,Nevada,2,1,USA
Stirling Moss 🇬🇧,Riverside International Raceway,California,1,1,USA
