raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
201601,Australian Grand Prix,1,au,2016,2016-03-20T00:00:00.000Z,albert_park,05:00:00,🇦🇺,Australia
201602,Bahrain Grand Prix,2,bh,2016,2016-04-03T00:00:00.000Z,bahrain,15:00:00,🇧🇭,Bahrain
201603,Chinese Grand Prix,3,cn,2016,2016-04-17T00:00:00.000Z,shanghai,06:00:00,🇨🇳,China
201604,Russian Grand Prix,4,ru,2016,2016-05-01T00:00:00.000Z,sochi,12:00:00,🇷🇺,Russia
201605,Spanish Grand Prix,5,es,2016,2016-05-15T00:00:00.000Z,catalunya,12:00:00,🇪🇸,Spain
201606,Monaco Grand Prix,6,mc,2016,2016-05-29T00:00:00.000Z,monaco,12:00:00,🇲🇨,Monaco
201607,Canadian Grand Prix,7,ca,2016,2016-06-12T00:00:00.000Z,villeneuve,18:00:00,🇨🇦,Canada
201608,European Grand Prix,8,az,2016,2016-06-19T00:00:00.000Z,BAK,13:00:00,🇦🇿,Azerbaijan
201609,Austrian Grand Prix,9,at,2016,2016-07-03T00:00:00.000Z,red_bull_ring,12:00:00,🇦🇹,Austria
201610,British Grand Prix,10,gb,2016,2016-07-10T00:00:00.000Z,silverstone,12:00:00,🇬🇧,UK
201611,Hungarian Grand Prix,11,hu,2016,2016-07-24T00:00:00.000Z,hungaroring,12:00:00,🇭🇺,Hungary
201612,German Grand Prix,12,de,2016,2016-07-31T00:00:00.000Z,hockenheimring,12:00:00,🇩🇪,Germany
201613,Belgian Grand Prix,13,be,2016,2016-08-28T00:00:00.000Z,spa,12:00:00,🇧🇪,Belgium
201614,Italian Grand Prix,14,it,2016,2016-09-04T00:00:00.000Z,monza,12:00:00,🇮🇹,Italy
201615,Singapore Grand Prix,15,sg,2016,2016-09-18T00:00:00.000Z,marina_bay,12:00:00,🇸🇬,Singapore
201616,Malaysian Grand Prix,16,my,2016,2016-10-02T00:00:00.000Z,sepang,07:00:00,🇲🇾,Malaysia
201617,Japanese Grand Prix,17,jp,2016,2016-10-09T00:00:00.000Z,suzuka,05:00:00,🇯🇵,Japan
201618,United States Grand Prix,18,us,2016,2016-10-23T00:00:00.000Z,americas,19:00:00,🇺🇸,USA
201619,Mexican Grand Prix,19,mx,2016,2016-10-30T00:00:00.000Z,rodriguez,19:00:00,🇲🇽,Mexico
201620,Brazilian Grand Prix,20,br,2016,2016-11-13T00:00:00.000Z,interlagos,16:00:00,🇧🇷,Brazil
201621,Abu Dhabi Grand Prix,21,ae,2016,2016-11-27T00:00:00.000Z,yas_marina,13:00:00,🇦🇪,UAE
